MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Kara Para Ask,(2014–2015),"
Action, Crime, Drama            ",7.3,"
Omar is a police officer. After the death of his fiancé he suffers great pain. Sibel, Omar's fiancée's body was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Omar realizes that there is more behind her suspicious murder.","
            
    Stars:
Engin Akyürek, 
Tuba Büyüküstün, 
Erkan Can, 
Damla Colbay
",5300,90,
Shadowplay,(2020– ),"
Drama, Thriller            ",6.5,"
Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.","
            
    Stars:
Taylor Kitsch, 
Michael C. Hall, 
Logan Marshall-Green, 
Nina Hoss
",1072,45,
Selena: The Series,(2020–2021),"
Biography, Drama, Music            ",6.8,"
Late Tejano singer Selena as her dreams come true, and her family makes life-changing choices on the singer's journey to success.","
            
    Stars:
Christian Serratos, 
Gabriel Chavarria, 
Ricardo Chavira, 
Noemi Gonzalez
",3948,40,
Skater Girl,-2021,"
Drama, Family, Sport            ",6.7,"
When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.","
    Director:
Manjari Makijany
| 
    Stars:
Amy Maghera, 
Rachel Saanchita Gupta, 
Waheeda Rehman, 
Jonathan Readwin
",2947,107,
Calibre,-2018,"
Drama, Thriller            ",6.8,"
A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.","
    Director:
Matt Palmer
| 
    Stars:
Jack Lowden, 
Martin McCann, 
Tony Curran, 
Ian Pirie
",24891,101,
Sightless,-2020,"
Drama, Thriller            ",5.5,"
After an attack renders her blind, Ellen Ashland withdraws from the world to recover. But soon she plunges into paranoia, unable to convince anyone that her assailant has returned to terrorize her by hiding in plain sight.","
    Director:
Cooper Karl
| 
    Stars:
Madelaine Petsch, 
Alexander Koch, 
Deniz Akdeniz, 
Matthew Yang King
",6552,89,
Tiny Pretty Things,(2020– ),"
Drama, Mystery, Thriller            ",5.9,"
Follows the world of an elite ballet academy, and charts the rise and fall of young adults who live far from their homes, each standing on the verge of greatness or ruin.","
            
    Stars:
Kylie Jefferson, 
Lauren Holly, 
Casimere Jollette, 
Brennan Clost
",8033,60,
Baki,(2018–2020),"
Animation, Action, Drama            ",6.7,"
The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.","
            
    Stars:
Tôru Furuya, 
Kirk Thornton, 
Troy Baker, 
Nobunaga Shimazaki
",4329,45,
Mudbound,-2017,"
Drama, War            ",7.4,"
Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","
    Director:
Dee Rees
| 
    Stars:
Jason Mitchell, 
Carey Mulligan, 
Jason Clarke, 
Mary J. Blige
",45231,134,
Close,(I) (2019),"
Action, Drama, Thriller            ",5.7,"
A female bodyguard is hired to protect an heiress on the run from assassins.","
    Director:
Vicky Jewson
| 
    Stars:
Noomi Rapace, 
Olivia Jewson, 
Abdellatif Chaouqi, 
Sophie Nélisse
",22708,94,
Dead Man Down,-2013,"
Action, Crime, Drama            ",6.5,"
In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.","
    Director:
Niels Arden Oplev
| 
    Stars:
Colin Farrell, 
Noomi Rapace, 
Dominic Cooper, 
Terrence Howard
",65672,118,$10.88M
Sexify,(2021– ),"
Comedy, Drama            ",6.5,"
To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.","
            
    Stars:
Aleksandra Skraba, 
Maria Sobocinska, 
Sandra Drzymalska, 
Piotr Pacek
",4053,40,
Paradise PD,(2018– ),"
Animation, Action, Comedy            ",6.9,"
Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.","
            
    Stars:
Sarah Chalke, 
David Herman, 
Tom Kenny, 
Kyle Kinane
",15799,28,
Selling Sunset,(2019– ),"
Reality-TV            ",6.3,"
The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.","
            
    Stars:
Mary Fitzgerald, 
Chrishell Stause, 
Brett Oppenheim, 
Jason Oppenheim
",3693,30,
Greenleaf,(2016–2020),"
Drama            ",7.4,"
The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, dark secrets and lies.","
            
    Stars:
Merle Dandridge, 
Kim Hawthorne, 
Desiree Ross, 
Lamman Rucker
",4624,60,
Raising Dion,(2019– ),"
Drama, Sci-Fi            ",7.2,"
A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly.","
            
    Stars:
Alisha Wainwright, 
Ja'Siah Young, 
Ali Ahn, 
Gavin Munn
",9560,50,
Country Comfort,-2021,"
Comedy, Drama, Family            ",6.9,"
An aspiring young country singer (Katharine McPhee) finds the band she's been missing when she takes a job as nanny for a musically talented family: a rugged cowboy (Eddie Cibrian) and his five children.","
            
    Stars:
Katharine McPhee, 
Eddie Cibrian, 
Ricardo Hurtado, 
Jamie Martin Mann
",2617,,
Family Reunion,(2019– ),"
Comedy            ",6.6,"
When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.","
            
    Stars:
Talia Jackson, 
Tia Mowry-Hardrict, 
Anthony Alabi, 
Loretta Devine
",2049,28,
A Week Away,-2021,"
Drama, Family, Musical            ",5.8,"
With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.","
    Director:
Roman White
| 
    Stars:
Kevin Quinn, 
Bailee Madison, 
Jahbril Cook, 
Kat Conner Sterling
",3565,94,
Step Up,-2006,"
Crime, Drama, Music            ",6.5,"
Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.","
    Director:
Anne Fletcher
| 
    Stars:
Channing Tatum, 
Jenna Dewan, 
Damaine Radcliff, 
De'Shawn Washington
",113232,104,$65.33M
The Social Dilemma,-2020,"
Documentary, Drama            ",7.6,"
Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.","
    Director:
Jeff Orlowski
| 
    Stars:
Tristan Harris, 
Jeff Seibert, 
Bailey Richardson, 
Joe Toscano
",72604,94,
The Promise,(II) (2016),"
Action, Adventure, Drama            ",6,"
Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","
    Director:
Terry George
| 
    Stars:
Oscar Isaac, 
Charlotte Le Bon, 
Christian Bale, 
Daniel Giménez Cacho
",174181,133,
Mignonnes,-2020,"
Drama            ",3.2,"
Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.","
    Director:
Maïmouna Doucouré
| 
    Stars:
Fathia Youssouf, 
Médina El Aidi-Azouni, 
Esther Gohourou, 
Ilanah Cami-Goursolas
",28451,96,
Everything Sucks!,-2018,"
Comedy, Drama            ",7.5,"
In 1990s Oregon, members of a high school A/V club clash with the drama club.","
            
    Stars:
Jahi Di'Allo Winston, 
Peyton Kennedy, 
Patch Darragh, 
Claudine Mboligikpelani Nako
",16163,30,
Night Stalker: The Hunt for a Serial Killer,-2021,"
Documentary, Crime, Mystery            ",7.5,"
This limited docu-series tells the true story of how one of the most notorious serial killers in American history was hunted down and brought to justice.","
            
    Stars:
Gil Carrillo, 
Frank Salerno, 
Tony Valdez, 
Laurel Erickson
",20124,189,
Kakegurui,(2017– ),"
Animation, Drama, Mystery            ",7.2,"
A gambling prodigy comes to an elite school run by games and turns the order upside down.","
            
    Stars:
Saori Hayami, 
Tatsuya Tokutake, 
Miyuki Sawashiro, 
Minami Tanaka
",6269,24,
The Night Comes for Us,-2018,"
Action, Thriller            ",7,"
Ito, a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","
    Director:
Timo Tjahjanto
| 
    Stars:
Iko Uwais, 
Joe Taslim, 
Julie Estelle, 
Hannah Al Rashid
",23261,121,
Child 44,-2015,"
Crime, Drama, History            ",6.5,"
A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.","
    Director:
Daniel Espinosa
| 
    Stars:
Tom Hardy, 
Gary Oldman, 
Noomi Rapace, 
Joel Kinnaman
",67925,137,$1.21M
To All the Boys: Always and Forever,-2021,"
Comedy, Drama, Romance            ",6.3,"
Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans - with and without Peter.","
    Director:
Michael Fimognari
| 
    Stars:
Lana Condor, 
Noah Centineo, 
Janel Parrish, 
Anna Cathcart
",19098,109,
The Flower of Evil,-2020,"
Crime, Mystery, Romance            ",8.8,"
""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past.","
            
    Stars:
Lee Joon-Gi, 
Moon Chae-Won, 
Seo Hyun-woo, 
Choi Dae-hoon
",4151,70,
Berlin Syndrome,-2017,"
Drama, Horror, Mystery            ",6.3,"
A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.","
    Director:
Cate Shortland
| 
    Stars:
Teresa Palmer, 
Max Riemelt, 
Matthias Habich, 
Emma Bading
",23476,116,$0.03M
Office Christmas Party,-2016,"
Comedy            ",5.9,"
When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...","
    Directors:
Josh Gordon, 
Will Speck
| 
    Stars:
Jason Bateman, 
Olivia Munn, 
T.J. Miller, 
Jennifer Aniston
",72433,105,$54.77M
White Girl,-2016,"
Crime, Drama            ",5.7,"
Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.","
    Director:
Elizabeth Wood
| 
    Stars:
Morgan Saylor, 
Brian Marc, 
Justin Bartha, 
Adrian Martinez
",10127,88,$0.20M
Pine Gap,-2018,"
Drama, Mystery, Thriller            ",7.2,"
Set in the intensely secretive world of intelligence and the enigmatic US/Australia joint defence facility in central Australia, the spy-thriller Pine Gap delves into the famously strong alliance between the two countries.","
            
    Stars:
Parker Sawyers, 
Jacqueline McKenzie, 
Steve Toussaint, 
Tess Haubrich
",4182,360,
Cargo,(I) (2017),"
Drama, Horror, Sci-Fi            ",6.3,"
After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter.","
    Directors:
Ben Howling, 
Yolanda Ramke
| 
    Stars:
Simone Landers, 
Martin Freeman, 
Marlee Jane McPherson-Dobbins, 
Lily Anne McPherson-Dobbins
",39943,105,
Away,-2020,"
Drama, Romance, Sci-Fi            ",6.6,"
An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.","
            
    Stars:
Hilary Swank, 
Josh Charles, 
Vivian Wu, 
Mark Ivanir
",22137,498,
Mercury Rising,-1998,"
Action, Crime, Drama            ",6.1,"
Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.","
    Director:
Harold Becker
| 
    Stars:
Bruce Willis, 
Miko Hughes, 
Alec Baldwin, 
Chi McBride
",70935,111,$32.94M
"Game Over, Man!",-2018,"
Action, Comedy            ",5.4,"
Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.","
    Director:
Kyle Newacheck
| 
    Stars:
Adam Devine, 
Anders Holm, 
Blake Anderson, 
Chloe Bridges
",27756,101,
Friends from College,(2017–2019),"
Comedy, Drama            ",6.9,"
Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.","
            
    Stars:
Keegan-Michael Key, 
Cobie Smulders, 
Annie Parisse, 
Nat Faxon
",19088,30,
Limitless,(2015–2016),"
Comedy, Crime, Drama            ",7.7,"
An average twenty-eight-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.","
            
    Stars:
Jake McDorman, 
Jennifer Carpenter, 
Hill Harper, 
Mary Elizabeth Mastrantonio
",63498,42,
Spectral,-2016,"
Action, Adventure, Sci-Fi            ",6.3,"
A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.","
    Director:
Nic Mathieu
| 
    Stars:
James Badge Dale, 
Emily Mortimer, 
Bruce Greenwood, 
Max Martini
",55165,107,
The Siege of Jadotville,-2016,"
Action, Drama, History            ",7.2,"
Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.","
    Director:
Richie Smyth
| 
    Stars:
Richard Lukunku, 
Danny Sapani, 
Andrew Stock, 
Mark Strong
",35164,108,
